Natracare, 0.10000000149011612
Banks to Butter, 0.10000000149011612
Energy industry, -0.10000000149011612
CO2, -0.10000000149011612
Fumes, -0.10000000149011612
Farmers, -0.10000000149011612
Many, -0.10000000149011612
O, -0.10000000149011612
Climate change, -0.10000000149011612
CO2, -0.10000000149011612
Governments, -0.10000000149011612
Trials, -0.10000000149011612
Huila, -0.10000000149011612
Syngenta, -0.20000000298023224
Fertilisers, -0.20000000298023224
GMO, -0.30000001192092896
Europe, -0.30000001192092896
GMO rice, -0.4000000059604645
Critics, -0.6000000238418579
Skin diseases, -0.699999988079071
